"","Session","Drill","Position","Date","Start.Time","Duration","Day.Code","Participation","Zone","Squad","HR.Training.Effect","Session.RPE","Distance","Distance.Zone.1","Distance.Zone.2","Distance.Zone.3","Distance.Zone.4","Distance.Zone.5","Distance.Zone.6","Max.Speed","Avg.Speed","Max.HR","Avg.HR","HR.Exertion","Time.in.HR.Zone.1","Time.in.HR.Zone.2","Time.in.HR.Zone.3","Time.in.HR.Zone.4","Time.in.HR.Zone.5","Time.in.HR.Zone.6","Speed.Exertion","Sprint.Count","Accelerations.Zone.1","Accelerations.Zone.2","Accelerations.Zone.3","Decelerations.Zone.1","Decelerations.Zone.2","Decelerations.Zone.3","New.Bodyload","Impacts.Zone.1","Impacts.Zone.2","Impacts.Zone.3","Impacts.Zone.4","Impacts.Zone.5","Impacts.Zone.6","Collisions","Running.Series","Running.Imbalance","Running.Imbalance.Standard.Deviation","Running.Symmetry.Footstrikes","Metabolic.Load.Time.Zone.1","Metabolic.Load.Time.Zone.2","Metabolic.Load.Time.Zone.3","Metabolic.Load.Time.Zone.4","Metabolic.Load.Time.Zone.5","Metabolic.Load..relative.","Metabolic.Power.Average","High.Metabolic.Power.Distance","Equivalent.Distance","Metabolic.Load.Distance.Zone.1","Metabolic.Load.Distance.Zone.2","Metabolic.Load.Distance.Zone.3","Metabolic.Load.Distance.Zone.4","Metabolic.Load.Distance.Zone.5","Metabolic.Load..absolute.","Repeat.Sprints","Sprint.Max.Acceleration","Sprint.Total.Distance","Work.Rate.Interval.Count","Work.Rate.Interval.Duration","Work.Rate.Interval.Distance","Name"
"1","2015-07-13","","Centre Midfield","2015-07-13 22:35:00","2015-07-13 22:35:00",89.91,"Day 4","Full","SPI IQ Absolutes","First Team",0,0,5438.9,43.26,641.87,877.93,626.08,947.31,1428.04,21.85,3.18,185,141.24,360.34,4.66,50.4,11.31,3.87,10.84,8.83,9245,127,56,9,2,62,11,3,119.6,6501,685,110,33,6,3,24,4,1.3,3.4,43,35,12.1,2.3,0.6,0.1,27.2,5,690.2,5853.1,2861.7,1869.4,505.6,150.8,33.8,1685.3,101,0,1106.3,29,29,3452.13,1
"2","2015-07-13","Total Time","Centre Midfield","2015-07-13 22:35:00","2015-07-13 22:35:00",89.91,"Day 4","Full","SPI IQ Absolutes","First Team",0,0,5438.9,43.26,641.87,877.93,626.08,947.31,1428.04,21.85,3.18,185,141.24,360.34,4.66,50.4,11.31,3.87,10.84,8.83,9245,127,56,9,2,62,11,3,119.6,6501,685,110,33,6,3,24,4,1.3,3.4,43,35,12.1,2.3,0.6,0.1,27.2,5,690.2,5853.1,2861.7,1869.4,505.6,150.8,33.8,1685.3,101,0,1106.3,29,29,3452.13,1
"3","2015-07-14","","Centre Midfield","2015-07-14 22:26:00","2015-07-14 22:26:00",83.6,"Day 5","Full","SPI IQ Absolutes","First Team",0,0,4075.14,82.27,858.59,545.06,544.83,415.15,521.37,22.14,2.26,226,223.75,3.16,83.29,0,0,0,0,0.01,3862,68,64,10,1,50,12,3,212.83,4051,854,231,39,11,8,34,10,2.3,4.1,127,32.4,7,2.7,0.7,0.2,22,4.4,792.7,4729.4,2154.8,1096.3,567.8,179.2,45.7,1361.7,34,0,271.5,10,10,1063.47,1
"4","2015-07-14","Warm Up","Centre Midfield","2015-07-14 22:31:00","2015-07-14 22:31:00",5.5,"Day 5","Full","SPI IQ Absolutes","First Team",0,0,78.83,5.24,55.39,8.45,6.34,3.41,0,7.88,0.86,0,0,0,5.5,0,0,0,0,0,16.7,0,0,0,0,0,0,0,23.97,66,11,0,0,0,0,6,0,0,0,0,1.7,0,0,0,0,0.4,1.3,0,92.7,72,4.6,0,0,0,26.7,0,0,0,0,0,0,1
"5","2015-07-14","3rd Man Runs","Centre Midfield","2015-07-14 22:37:00","2015-07-14 22:37:00",16.25,"Day 5","Full","SPI IQ Absolutes","First Team",0,0,868.34,11.79,104.61,71.34,63.6,39.83,132.26,20.45,1.77,0,0,0,16.25,0,0,0,0,0,735.4,22,13,4,0,6,1,0,36.69,721,307,77,11,0,0,1,8,1.7,4.3,104,4.2,1.9,0.8,0.2,0,4.7,4.8,242.8,1006.6,275,345.1,183.3,46.7,12.7,289.8,7,0,89.5,0,0,0,1
"6","2015-07-14","4v2 in 10x10 Transition Game","Centre Midfield","2015-07-14 22:55:00","2015-07-14 22:55:00",15.92,"Day 5","Full","SPI IQ Absolutes","First Team",0,0,644.52,23.14,173.6,126.72,82.9,57.61,93.44,15.44,2.16,0,0,0,15.92,0,0,0,0,0,650,11,14,2,0,10,2,0,31.1,739,143,48,8,4,3,9,1,5.6,0,12,5.8,1.3,0.4,0.1,0,3.7,3.9,107.3,797.1,362.7,165.2,76,24.8,6.5,229.5,5,0,43.5,0,0,0,1
"7","2015-07-14","8v4 3 colours possession","Centre Midfield","2015-07-14 23:16:00","2015-07-14 23:16:00",26.75,"Day 5","Full","SPI IQ Absolutes","First Team",0,0,1716.02,35.64,393.66,221.51,147.82,89.2,266.44,22.14,2.84,0,0,0,26.75,0,0,0,0,0,1576.6,35,37,4,1,33,9,3,60.73,1409,369,94,19,7,4,11,1,4.4,0,11,13.5,2.6,1.4,0.4,0.1,9.6,6,426.2,2057.6,857.2,419.5,292,107.7,26.6,592.4,22,0,138.5,6,6,615.46,1
"8","2015-07-14","Cool Down","Centre Midfield","2015-07-14 23:43:00","2015-07-14 23:43:00",6.54,"Day 5","Full","SPI IQ Absolutes","First Team",0,0,556.63,1.52,23.23,64.59,227.02,219.1,21.17,9.47,5.1,226,223.75,3.16,6.23,0,0,0,0,0.01,795.6,0,0,0,0,0,0,0,7.57,1007,5,1,0,0,1,1,0,0,0,0,3.9,1.1,0,0,0,2.5,6.4,1.3,540,410.5,142.9,1.3,0,0,155.5,0,0,0,4,4,450.56,1
"9","2015-07-15","","Centre Midfield","2015-07-15 22:31:00","2015-07-15 22:31:00",76.73,"Day 6","Full","SPI IQ Absolutes","First Team",0,0,5231.42,47.17,613.21,529.43,280.57,300.09,1463.37,23.51,2.85,113,90.02,0.82,75.75,0.98,0,0,0,0,7420,146,64,11,0,66,13,1,193.93,4939,1227,242,56,21,5,51,23,3.8,6.3,347,25.7,12.8,3.3,1,0.2,26.8,5.8,1074.3,5781.3,1849,2289.4,771.1,260,43.2,1664.6,103,0,1214.7,15,15,1935.8,1
"10","2015-07-15","Run - Shoot - Combo 40yrds","Centre Midfield","2015-07-15 22:33:00","2015-07-15 22:33:00",28,"Day 6","Full","SPI IQ Absolutes","First Team",0,0,1671.59,18.45,215.01,159.57,114.19,130.55,488.26,23.51,2.63,113,105,0.41,27.58,0.42,0,0,0,0,2565.8,63,13,2,0,18,1,0,57.53,1588,453,72,12,4,1,11,1,24.9,0,16,9.1,4.3,0.8,0.3,0,8.5,5,294.2,1821.6,631.1,736.1,202.9,81.9,9.4,524.5,47,0,430,4,4,433.46,1
