"","Session","Drill","Position","Date","Start.Time","Duration","Day.Code","Participation","Zone","Squad","HR.Training.Effect","Session.RPE","Distance","Distance.Zone.1","Distance.Zone.2","Distance.Zone.3","Distance.Zone.4","Distance.Zone.5","Distance.Zone.6","Max.Speed","Avg.Speed","Max.HR","Avg.HR","HR.Exertion","Time.in.HR.Zone.1","Time.in.HR.Zone.2","Time.in.HR.Zone.3","Time.in.HR.Zone.4","Time.in.HR.Zone.5","Time.in.HR.Zone.6","Speed.Exertion","Sprint.Count","Accelerations.Zone.1","Accelerations.Zone.2","Accelerations.Zone.3","Decelerations.Zone.1","Decelerations.Zone.2","Decelerations.Zone.3","New.Bodyload","Impacts.Zone.1","Impacts.Zone.2","Impacts.Zone.3","Impacts.Zone.4","Impacts.Zone.5","Impacts.Zone.6","Collisions","Running.Series","Running.Imbalance","Running.Imbalance.Standard.Deviation","Running.Symmetry.Footstrikes","Metabolic.Load.Time.Zone.1","Metabolic.Load.Time.Zone.2","Metabolic.Load.Time.Zone.3","Metabolic.Load.Time.Zone.4","Metabolic.Load.Time.Zone.5","Metabolic.Load..relative.","Metabolic.Power.Average","High.Metabolic.Power.Distance","Equivalent.Distance","Metabolic.Load.Distance.Zone.1","Metabolic.Load.Distance.Zone.2","Metabolic.Load.Distance.Zone.3","Metabolic.Load.Distance.Zone.4","Metabolic.Load.Distance.Zone.5","Metabolic.Load..absolute.","Repeat.Sprints","Sprint.Max.Acceleration","Sprint.Total.Distance","Work.Rate.Interval.Count","Work.Rate.Interval.Duration","Work.Rate.Interval.Distance","Name"
"672","2015-07-10","","Centre Midfield","2015-07-10 22:53:00","2015-07-10 22:53:00",77.59,"Day 1","Full","SPI IQ Absolutes","",0,0,5386.93,53.92,761.68,544.69,257.61,684.02,3044.19,12.96,4.15,160,156.44,1.09,77.41,0,0.07,0.11,0,0,15571,143,1,0,0,8,0,0,61.47,9078,182,21,6,1,1,2,0,0,0,0,29.6,20,0.4,0,0,25.4,5.5,65.6,5461.7,2193.1,3102.7,57,7.9,0.6,2282.8,134,0,2841.7,24,24,3436.11,4
"673","2015-07-10","Total Time","Centre Midfield","2015-07-10 22:53:00","2015-07-10 22:53:00",77.59,"Day 1","Full","SPI IQ Absolutes","",0,0,5386.93,53.92,761.68,544.69,257.61,684.02,3044.19,12.96,4.15,160,156.44,1.09,77.41,0,0.07,0.11,0,0,15571,143,1,0,0,8,0,0,61.47,9078,182,21,6,1,1,2,0,0,0,0,29.6,20,0.4,0,0,25.4,5.5,65.6,5461.7,2193.1,3102.7,57,7.9,0.6,2282.8,134,0,2841.7,24,24,3436.11,4
"674","2015-08-31","","Centre Midfield","2015-08-31 19:17:00","2015-08-31 19:17:00",63.03,"Day 2","Full","SPI IQ Absolutes","First Team",0,0,2959.2,40.86,572.06,789.8,486.61,217.97,332.34,22.97,2.4,182,139.92,241.08,0.06,36.24,7.49,5.58,10.56,3.1,2710.2,34,31,13,1,33,13,0,84.6,3295,433,85,31,15,8,16,0,0,0,0,26.6,3.6,1.2,0.6,0.2,15.6,4.1,453.3,3365.1,1946.3,545.3,243.3,146.2,63.8,1234.6,20,0,169.6,12,12,1218.35,4
"675","2015-08-31","Ball Skills Work","Centre Midfield","2015-08-31 19:17:00","2015-08-31 19:17:00",11.54,"Day 2","Full","SPI IQ Absolutes","First Team",0,0,778.85,6.74,95.1,181.05,243.19,118.62,106.83,15.48,3.95,157,121.16,22.95,0.06,8.72,2.75,0,0,0,1046.4,15,3,0,0,3,0,0,15.01,1435,90,6,2,0,1,0,0,0,0,0,6.6,1.4,0.1,0,0,3.7,5.4,33.3,803.7,552,191,24,7.9,1.5,294.8,10,0,82.2,4,4,406.69,4
"676","2015-08-31","Work Round Player - Passes - Volley - Header","Centre Midfield","2015-08-31 19:29:00","2015-08-31 19:29:00",5.13,"Day 2","Full","SPI IQ Absolutes","First Team",0,0,165.17,12.46,55.93,49.21,35.22,9.71,2.64,8.39,1.93,169,154.34,24.1,0,1.34,1.1,2.16,0.53,0,89.1,0,0,0,0,0,0,0,15.91,443,66,6,4,3,3,5,0,0,0,0,1.8,0.4,0.1,0,0,0.9,2.9,9.9,192.2,112,39.8,9.9,0,0,70.5,0,0,0,0,0,0,4
"677","2015-08-31","Passing in Centre Circle - 2 work 6 outside","Centre Midfield","2015-08-31 19:35:00","2015-08-31 19:35:00",10.13,"Day 2","Full","SPI IQ Absolutes","First Team",0,0,443.65,2.99,75.35,127.06,31.55,20.26,79.41,17.14,2.1,179,137.49,36.77,0,6.57,0.5,0.69,1.79,0.58,449.6,6,9,3,0,14,2,0,15.63,350,99,23,11,3,0,2,0,0,0,0,3.7,0.5,0.3,0.1,0,2.4,4,85.6,518,265.2,91.5,57.2,19,9.4,190,4,0,26.3,2,2,200.33,4
"678","2015-08-31","Defending Crosses","Centre Midfield","2015-08-31 19:46:00","2015-08-31 19:46:00",11.67,"Day 2","Full","SPI IQ Absolutes","First Team",0,0,914.67,5.78,137.3,228.72,83.59,39.54,85.82,22.97,3.34,182,166.12,86.26,0,1.42,0.71,0.99,6.9,1.65,623.4,6,13,8,0,15,5,0,24.36,682,134,34,10,5,2,5,0,0,0,0,6.7,0.8,0.5,0.4,0.1,5.1,7.2,261.8,1088.5,506,145,123.1,99.5,39.2,399.3,2,0,25.2,5,5,510.67,4
"679","2015-08-31","CBs Clearing Long Balls","Centre Midfield","2015-08-31 20:01:00","2015-08-31 20:01:00",13.88,"Day 2","Full","SPI IQ Absolutes","First Team",0,0,470.03,8.18,106.71,141.38,81.75,27.23,53.48,20.3,1.84,182,140.98,47.29,0,9.52,1.5,0.96,1.03,0.88,441.4,6,5,2,1,1,6,0,13.4,349,43,16,4,4,2,4,0,0,0,0,4.8,0.5,0.2,0.1,0,2.6,3.1,60.5,563.2,336.2,70.2,26.9,19.9,13.7,206.6,4,0,31.8,1,1,100.04,4
"680","2015-11-14","","Centre Midfield","2015-11-14 17:01:00","2015-11-14 17:01:00",59.67,"Day 3","Full","SPI IQ Absolutes","First Team",0,0,2453.48,34.29,425.15,562.12,392.82,192.61,443.39,18.43,2.13,184,107.76,94.66,0.89,45.92,5.87,5.21,1.57,0.2,3001.4,58,33,5,0,36,4,0,26.45,2744,196,11,1,0,0,2,1,-5.5,0,10,20.4,3.7,1.3,0.3,0,12.6,3.5,340.7,2706.9,1545.2,567,260.5,70.1,10,885,40,0,265.6,9,9,943.29,4
"681","2015-11-14","6 Goals Half Way to 18 Yard Box","Centre Midfield","2015-11-14 17:14:00","2015-11-14 17:14:00",12.5,"Day 3","Full","SPI IQ Absolutes","First Team",0,0,1252.47,17.61,146.12,222.04,175.98,100.09,290.27,18.43,5.12,184,155.34,44.91,0.23,2.13,4.2,4.2,1.54,0.2,1754.6,39,25,5,0,31,3,0,15.28,1451,131,8,1,0,0,2,0,0,0,0,7.9,2.3,0.9,0.2,0,6.7,8.9,253,1438.9,639.1,359.2,186.6,58,8.3,470.4,28,0,167,7,7,746.75,4
"682","2015-11-14","11 v 11 2 Touch 75 Yard Pitch","Centre Midfield","2015-11-14 17:30:00","2015-11-14 17:30:00",12.58,"Day 3","Full","SPI IQ Absolutes","First Team",0,0,591.4,7.11,117.24,167.2,40.55,37.34,119.23,17.39,2.42,170,112.48,18.18,0.66,9.9,1.26,0.73,0.03,0,705.1,15,8,0,0,5,1,0,5.55,503,58,3,0,0,0,0,1,-5.5,0,10,4.9,0.9,0.4,0.1,0,3,3.9,85.1,642.1,366.6,138.3,71.3,12.1,1.7,209.9,11,0,73.8,2,2,222.09,4
"683","2015-11-14","11 v 11 75yrd Pitch","Centre Midfield","2015-11-14 17:46:00","2015-11-14 17:46:00",12.83,"Day 3","Full","SPI IQ Absolutes","First Team",0,0,0,0,0,0,0,0,0,0,0,82,69.17,8.28,0,12.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"684","2015-10-07","","Centre Midfield","2015-10-07 18:46:00","2015-10-07 18:46:00",79.36,"Day 7","Full","SPI IQ Absolutes","",0,0,5420.25,76.97,846.19,1078.03,757.96,433.99,1171.6,23.65,3.5,190,141,336.84,6.17,41.02,8.77,6.43,9.18,7.79,7288.6,138,63,16,1,84,15,3,71.48,6496,492,56,2,2,0,4,2,2.8,4.3,23,39.3,9.5,2.9,0.9,0.2,28,5.9,852.4,6027.6,3053.7,1514.2,581.3,213.9,57.3,2519.3,104,0,720.1,26,26,2860.42,4
"685","2015-10-07","Free Play Ball between 3","Centre Midfield","2015-10-07 18:49:00","2015-10-07 18:49:00",15.5,"Day 7","Full","SPI IQ Absolutes","",0,0,1171.02,20.53,276.13,273.19,207.28,116.14,194.14,17.64,4.32,170,132.67,44.47,0.48,11.24,3.46,0.21,0.12,0,1430,18,8,2,0,11,1,0,16.48,1727,87,17,0,0,0,0,1,-1,0,13,10.7,1.9,0.4,0.1,0,5.8,6.3,102,1252.8,794.5,274.6,75.6,22.5,3.8,523.6,12,0,115.4,2,2,226.46,4
"686","2015-10-07","7v5 Attack v Defence - Half Pitch","Centre Midfield","2015-10-07 19:11:00","2015-10-07 19:11:00",25.5,"Day 7","Full","SPI IQ Absolutes","",0,0,1762.83,23.16,252.75,349.67,220.28,115.66,386.19,23.65,3.41,190,138.3,104.21,0,14.66,4.33,4.42,1.82,0.27,2319.4,47,22,7,0,29,6,0,19.86,1784,149,15,0,1,0,2,1,7.7,0,10,12.6,2.8,0.9,0.4,0.1,9.2,6,311.3,1983.1,977.1,474.4,189.8,93.5,28,828.9,33,0,241.6,7,7,700.93,4
"687","2015-10-07","9v9 Half Pitch With GKs","Centre Midfield","2015-10-07 19:39:00","2015-10-07 19:39:00",18,"Day 7","Full","SPI IQ Absolutes","",0,0,2063.95,20.72,156.45,366.06,268.08,149.97,550.13,21.78,5.83,189,170.1,156.61,0.14,1.63,0.73,1.26,6.86,7.38,3131.1,70,32,7,1,42,8,3,26.83,2475,217,21,2,1,0,2,0,0,0,0,10.7,4.2,1.5,0.4,0.1,10.9,10,427,2336.9,948.4,688.1,308.6,94.5,23.9,976.7,58,0,355.2,16,16,1833.11,4
"688","2015-11-12","","Centre Midfield","2015-11-12 17:04:00","2015-11-12 17:04:00",71.91,"Day 1","Full","SPI IQ Absolutes","",0,0,4016.91,90.76,657.33,444.05,462.87,755.8,1080.8,20.77,3.01,190,132.69,256.02,1.49,48.23,7.84,7.71,4.26,2.37,7212.8,77,38,14,0,48,6,2,80.72,6189,535,73,19,15,0,19,1,-4.9,0,10,28.8,9.5,1.6,0.6,0.2,20.9,4.8,481.9,4506.2,2146,1388.3,300,139.2,42.7,1883.4,54,0,543.4,17,17,2011.76,4
"689","2015-11-12","Jogging","Centre Midfield","2015-11-12 17:04:00","2015-11-12 17:04:00",9.74,"Day 1","Full","SPI IQ Absolutes","",0,0,1277.34,0.78,21.34,15.53,174.43,563.73,501.54,10.4,7.87,137,124.42,18.96,0,9.74,0,0,0,0,3755.8,21,0,0,0,0,0,0,14.65,2884,3,0,0,0,0,0,0,0,0,0,4.9,4.8,0,0,0,5.8,9.9,0,1247.2,596.4,680.2,0,0,0,521.3,16,0,219,9,9,1155.77,4
"690","2015-11-12","5v2 10x10","Centre Midfield","2015-11-12 17:26:00","2015-11-12 17:26:00",11.33,"Day 1","Full","SPI IQ Absolutes","",0,0,466.39,38.88,196.21,115.89,61.88,28.35,24.63,11.02,2.47,164,143.19,44.12,0,7.33,2.55,1.46,0,0,290.2,2,0,0,0,0,0,0,9.39,666,74,8,1,2,0,2,0,0,0,0,6.7,0.8,0.2,0,0,2.7,3.9,29.4,575.3,355,82,26.5,2.9,0,240.5,0,0,6.4,0,0,0,4
